Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,Ecstasy,Ecstasy-type substances,,,,,,,458,1'075,3'921,3'135,1'049,211,23,,376,43,97,143,,1'347,2'400,2'731,2'186,973,344,1'830,2'166,5'232,4'075,4'771,3'338,1'641,831,1'540,795,4'671,1'044,838,1'927
,,,Hashish (resin),Hashish (resin),2'816,13'682,1'400,14'215,933,570,218,2'369,36'934,71,73,81'973,1'141,11'400,783,14'637,38'205,1'073,,761,945,68,616,38,55,350,1'071,362,367,811,846,272,1'899,2'453,469,669,4'645,1'205,1'661
,,,Heroine and Morphine,Heroin,230,151,276,300,385,419,410,501,740,959,565,1'376,1'241,1'423,1'294,1'337,1'366,1'542,1'581,1'200,1'707,2'601,2'783,2'484,1'893,1'889,2'037,1'856,2'107,2'555,3'253,4'000,4'991,4'803,7'367,9'485,7'173,8'094,8'958
,,,,Illicit morphine,,,0,,,9,,,,10,3,,1,5,39,0,0,0,,3,196,0,0,2,1,13,2,7,57,,23,3,24,50,64,186,12,30,5
,,,Marijuana (herb),Marijuana (herb),2'969'685,877'810,1'276'787,814'609,1'319'700,854'051,662'852,622'690,524'947,335'945,171'738,139'672,345'930,382'850,474'972,627'946,638'661,684'745,799'001,1'175'373,218'256,1'436'412,1'401'156,1'648'356,1'353'006,1'398'124,1'393'657,1'834'665,1'681'090,2'321'438,2'290'445,2'179'259,1'968'474,1'779'774,1'258'113,1'183'329,978'271,661'286,483'165
,,,Opium,Opium,20,69,120,16,8,17,11,43,15,9,41,232,593,1'551,,42,62,39,,69,,1'051,1'052,22'996,186,6'733,273,1'538,332,907,1'884,2'349,3'395,38'352,6'429,2'157,1'776,528,308
,,,Other drugs,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2'470,1,41,2,1,3,15
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,68,2,4'834,85,381,373,70
,,,,Cannabis oil,1,,29,0,,,,,,324,50,57,,,525,780,248,,,491,66,60,,,,,,1,677,,1,364,1'422,376,6,464,180,2'369,2'012
,,,,Cannabis plants,,,,,,,,,,1'368,388,15,,,15'962,24'563,676'866,,,497,163,4'562,,,20'683,27,28'711,126'160,215'754,,,151'385,80'109,83'453,54'933,247'452,97'977,111'610,91'703
,,,,Cannabis seed,,,,,,,,,,1,,,,,,,229'292,,,412'272,417'120,,,,,,,,,,,,,,,,,,
,,,,Coca leaf,,,,,,,,,0,,0,0,0,,0,,,,,58,48,1,,,,,,,,,,1'420,95,69,278,152,331,123,258
,,,,Depressants (excluding Methaqualone),100,217,57,25,15,13,2,0,5,3,1,4,14,,254,3,5,8,,7,1,,,,,,,,,,,,,,,,,,
,,,,Ephedrine,,,,,,,,,,,,,,,,,,,,,,169,146,941,245,942,183,2'723,2'338,14'063,,,,,,,,,
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,796,425,707,756,1'690,1'647,1'536,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,
,,,,LSD,,2,,0,0,1,0,0,0,0,0,0,0,,0,0,0,2,,0,1,0,0,0,0,1,0,0,0,,1,2'873,476,4,0,21,41,8,52
,,,,Methaqualone,,,,,,15,177,90,17,18,1,25,45,,68,3,20,0,,8,0,0,10,0,,,,,0,,,1,2,5,8,8,12,2,
,,,,Non-specified,2,5,,,0,,,1,,0,1,,1,,1,0,767,,,3,5,,,,,,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,778,,198,341,3,108,,,,,,,,,,,,,,,,,,3,111,164,43,36,109,65,,,,,,,,,494
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,,,,,,,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,690,1'009,714,566,5'013,279,2'502,625
,,,,Other illicit opioids,,,,0,,,,,,2,2,,1,,,1,8,,,0,,6,45,16,18,17,41,70,46,30,,,,,,,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,231,,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,10,28,2
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,2,40,49,,,,,,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,1'203,,,1'040,682,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,34,30,103,46,683,2'055,3'193,3'095
,,,,Phenethylamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,Plant-based NPS,,,,,,,,,,,,,1'090,4'215,,,,28,,45,188,37'572,48'809,58'317,17'188,46'784,44'193,38'739,55'093,98'803,90'037,48'370,62'736,107'044,45'203,54'094,53'249,93'389,18'267
,,,,Poppy plants,,,,,,,,,,,,,,,38,,,51,,,,,,,,,,,,,,,,,,,,,
,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'027,1'030,494,718,382
,,,,Pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,4'504,9'401,10'061,691,7'896,49'323,1'918,1'930,1'544,,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'391,43'771,23'027,26'498,16'987,4'812,27'239,2'326
,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,156,14,106,
,South America,Argentina,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,1,,1,0,,4,0,0,6,10,0,0,0,10,5,28,7,0,33,1
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,20,0,0,9,17,19,21,0,51,26,3
,,,,Non-specified ATS,,,,,1,12,0,,0,4,0,1,,0,0,3,0,0,0,,3,,,0,,,,,,,,,,,,,,,0
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,238,,11'530,43,76,109,106,12'001
,,,,"Cocaine (base, paste and salts)",45,27,19,74,142,160,360,613,1'099,462,1'009,1'276,1'210,2'042,2'236,3'416,2'451,5'193,1'767,1'661,2'351,2'287,1'638,1'993,3'115,5'503,6'502,7'533,12'112,12'643,238,,10'462,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7'237,4'162,,,,6'972,8'446,15'790,
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,3,,0
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13'180,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,1,,,,,0,,,,,,,,,4,14,1,6,18,3,37,26,5,25,16,179,23,70,137,25
,,,Hashish (resin),Hashish (resin),,0,0,0,0,0,0,0,,0,2,2,1,100,0,,7,0,2,6,9,1,2,13,1,24,2,0,40,20,0,,35,105,4,0,0,2,0
,,,Heroine and Morphine,Heroin,0,0,,,,,,0,0,0,,,,1,,,,39,31,8,48,85,32,176,16,31,33,0,15,0,6,,2,,,0,,9,0
,,,,Illicit morphine,1,0,6,8,0,0,40,0,,0,0,,0,,,,,,,,,,,,,,,,0,,0,,,,,,,0,0
,,,Marijuana (herb),Marijuana (herb),430,155,290,471,746,27,1'912,2'126,2'611,1'245,658,1'351,3'770,2'547,2'597,5'150,8'893,13'710,10'920,18'301,25'539,33'052,44'824,58'340,54'786,36'482,87'526,89'940,107'530,91'869,36'294,28'680,129'058,127'510,140'645,206'755,160'633,175'028,256'411
,,,Opium,Opium,0,0,31,0,0,0,95,1,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,
,,,Other drugs,Any Illicit drugs,,,,32,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0
,,,,Cannabis oil,,,,,,,,,,,,,2,1,,,,,,,,,,,0,,,,,,,116,,,,,1,64,257
,,,,Cannabis plants,19,35,23,317,129,1,301,71,206,185,88,106,106,327,34,,215,46,130,123,68,169,94,1'424,407,250,205,204,233,382,449,561,666,638,1'131,1'247,7'278,2'302,1'716
,,,,Cannabis seed,,,,,0,1'603,0,,,0,4,,21'191,19,1,0,11,39,43,0,0,1,,2,12,,,,34,,38,38,30,20,2,15,29,13,24
,,,,Coca leaf,21'392,5'878,9'446,11'774,13'132,13'661,14'993,30'314,37'816,18'386,30'778,47'791,80'209,52'983,59'120,54'750,56'854,49'754,47'848,68'492,95'901,91'352,45'570,46'243,38'617,52'928,49'418,47'634,53'978,56'741,4'554,3'050,94'702,87'678,118'088,113'732,115'640,129'616,126'072
,,,,Depressants (excluding Methaqualone),128,0,5,,,,19,,,,,4,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,60,49,179,20
,,,,LSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Methaqualone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Non-specified,,,,,,,,,,,,,,,,0,,,,0,0,4'795,24'028,0,0,0,0,0,0,2,,,,,,,,1,2
,,,,Non-specified hallucinogens,,,,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
,,,,Other illicit opioids,,,,,,,19,0,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,7
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8
,,,,Poppy plants,,,,,,,,66,,85,,10,6,,,,30,2,41,,,,,,,,,6,,,,,,,,,0,0,
,,,,Poppy seed,,,,,,,,,,,,,0,,,,,,30,,0,0,,,,,,,,,,,,,,,,0,
,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,
,,,,Solvents and inhalants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,1,8
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,Tryptamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,Bolivia (Plurinational State of),Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25'710,,,20'400,,,,,
,,,,"Cocaine (base, paste and salts)",400,,,1'036,972,3'262,6'587,6'788,9'796,9'800,12'405,8'420,10'126,9'055,10'021,8'497,11'938,12'325,11'346,7'712,5'600,4'610,5'100,12'900,8'720,11'460,14'090,17'830,28'890,26'892,,,,1'580,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'380,33'967,36'310,,22'342,21'285,29'961,19'629,18'075
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),4,,,23,103,,,,56,12,16,85'651,,,144,13,175,3'617,320,2'160,3'740,7'050,8'750,8'510,28'200,34'560,38'938,267'381,1'275,26'555,4'373,1'986,5'560,12'606,11'509,26'198,15'190,18'692,8'584
,,,Other drugs,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,,,,,86'418,156'396,1'111'313,1'910'857,1'068'953,380'213,401'870,,161'521,57'401,102'946,196'941,231'476
,,,,Coca leaf,14'508,,,,,4'468,,,24'144,1'907,,,,,127'868,76'710,45'940,80'090,108'569,63'145,58'930,79'530,101'650,152'130,445'670,888'220,1'346'030,1'707'170,2'064'820,1'574'000,1'016'361,,739'884,475'547,149'616,,,,
,,Brazil,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,0,,,0,1,,1,4,,6,3,5,1,180,4,44,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,0,13,118,73,2
,,,,Non-specified ATS,0,0,0,3,0,3,19,,,,,,,,,,0,,,,,,,,,,1,0,,,,,,,,,,,2
,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'184,413,,7,40,,,,,,,
,,,,"Cocaine (base, paste and salts)",93,98,362,600,551,160,974,1'341,1'485,1'524,3'017,4'072,2'300,6'608,12'028,5'815,4'071,4'309,6'560,7'470,5'517,9'025,9'215,9'631,8'094,16'015,14'178,16'609,20'075,24'052,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27'066,24'481,19'875,41'710,33'858,27'223,,48'047,79'174
,,,,Crack,,,,,,,,,,,,,,,,,,,,176,39,113,201,136,101,137,145,578,374,,1'145,,,,,,,,
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41'472,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,125,,,33,7,,,,,,,,16,10,1,4,19,22,14,3,57,36,8,1,70,92,50,238,153,133,205,80
,,,Hashish (resin),Hashish (resin),1,1,1,5,,0,4,4,6,16,1,2,6,,1,6,9,12,,38,41,44,36,56,66,94,96,160,301,204,143,251,206,320,234,298,319,547,325
,,,Heroine and Morphine,Heroin,,,,,0,,,,,,,,,,13,0,,,1,,,13,57,66,50,14,95,10,12,,,1,10,5,,,,1,100
,,,,Illicit morphine,,,,,,0,,,,1,,,,,,,,,,0,,,,0,,,0,72,1,17,,23,,,,,,,
,,,Marijuana (herb),Marijuana (herb),88'503,232'587,363'394,1'037'097,2'650'776,27,27'058,21'597,19'358,8'382,9'561,7'471,18'773,,18'837,11'731,22'431,31'828,28'982,69'172,159'073,146'280,194'080,166'254,155'392,151'632,166'780,197'255,187'103,131'366,155'072,174'271,111'230,222'225,208'472,271'062,234'153,350'314,271'605
,,,Opium,Opium,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Other drugs,Any Illicit drugs,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,8,,6,920,,1,12'162'774,45'903'336,16'077'492,2'100'000,2'728'622,1'636'981,740'000,,,253'246,1'523,288'481,337'111,346'216,369'960,382'385,259'410,234'589,56'176,15'465,115'004,4'331,290'475,216'414,176'776,133'561,62'013,89'362,139'211,122'286,61'534,191'045,290'000
,,,,Cannabis seed,0,0,117,,0,1'603,63,178,31,,13,10,30,,95,57,85,68,5,56,99,,23,41,,,19,,48,24,215,44,3,5,3,,6,33,103
,,,,Coca bush,,,,,,,,5'330'393,7'980'840,1'319,,,,,,,,,,,,,,,,,,,,,23'982,,,,,,,,
,,,,Coca leaf,1,0,0,154'616,4'395'625,13'661,40'814,8,4,,,1,,,1,0,,0,,,0,,,,0,0,0,8,1,,1,0,0,97,,,,,118
,,,,Coca seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,
,,,,Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,,,,,,
,,,,LSD,0,0,0,0,0,,0,4,0,,0,0,,,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Non-specified,,,,0,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
,,,,Non-specified substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,,,,,
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,2,,,,,,,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,
,,Chile,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,0,,,0,,9,1,,14
,,,,Non-specified ATS,1,0,0,5,2,7,11,5,56,11,8,19,,,30,7,4,14,2,26,3,5,1,4,,,27,17,,,,,,,,,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,3,1
,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7'127,7'059,9'675,10'798,13'871,11'703,12'771,12'543,
,,,,"Cocaine (base, paste and salts)",75,47,12,65,33,30,62,42,79,882,236,402,619,997,1'226,2'900,2'962,2'661,2'952,2'930,2'076,2'428,2'262,2'411,5'266,5'370,6'790,10'791,9'507,8'351,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'808,1'941,3'150,2'933,4'074,5'660,6'125,6'024,3'714
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,15,,,,0,,0,,0,0,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,0,0,,,,,,,,3,,0,1,0,1,,0,1,1,1,1,0,1,0,0,2,32,2'959,43,71
,,,Hashish (resin),Hashish (resin),,,,,,,,,0,,0,0,,,0,,,,,,0,,,,,,0,,,0,1,,0,,0,1,0,9,5'713
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,,,,,,21,33,14,5,14,14,6,11,,0,,,,,,,1,,0
,,,,Illicit morphine,,,,,,0,0,0,,,0,,,,,0,,,0,0,,,0,0,,,0,,,,0,,,0,0,0,0,,0
,,,Marijuana (herb),Marijuana (herb),2'649,3'495,6'849,8'325,8'008,10'021,12'172,16'258,33'628,5'648,5'134,24'011,738'177,78'039,1'677,3'788,913,784,2'238,2'105,3'277,2'418,8'833,4'620,4'990,6'438,4'991,6'621,10'836,13'928,8'144,14'565,14'551,23'450,24'386,23'643,21'964,16'996,16'840
,,,Opium,Opium,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Other drugs,Any Illicit drugs,,,,0,0,1,3,0,,,,,,,,,,,,,,0,0,136,,,,,,,,,,,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,0,
,,,,Cannabis oil,,,,,,,,,,,,,,,,,,,,0,,,0,,,1,,,,,,,,,,,,,0
,,,,Cannabis plants,,,35,5,,764,964,,729,1'361,1'163,43'111,20'664,,4'169,7'279,9'448,3'426,1'033,,6'362,9'889,6'989,7'923,16'688,12'875,21'500,21'582,28'172,19'641,17'262,26'602,23'543,28'770,25'682,40'731,31'982,24'569,24'976
,,,,Cannabis seed,,,,,,,,6,,,,,,,,,1,,0,,,,,,,,,,,,0,,0,1,2,246,1,0,0
,,,,Coca leaf,,,,17,,104,330,5,138,196,104,55,33,,174,22,5,,,,,,0,,,358,12,,,62,179,,1,95,341,250,1,7,260
,,,,Depressants (excluding Methaqualone),0,0,0,0,0,1,1,0,16,0,1,0,,,,,0,,0,0,0,0,0,0,,0,4,0,,0,,,,,,,,,
,,,,Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,7,6
,,,,LSD,,0,0,0,0,0,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,0,0,0,2,0,0,0
,,,,Methaqualone,,,,,,,,,,,,0,,,3,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,,,4,,5,,2,,,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,0,1,17,10,,,,0,0,0,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,,,,14,,8,,,,,,,,,,,14'059
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,,4,7,3
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,167,,,,,,,,,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,Phenethylamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,Colombia,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,35,56,490,,,,,,,,,,,
,,,,Non-specified ATS,294,21,,2,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50'090,68'910,56'054,50'323,43'381,45'057,45'242,54'750,44'071
,,,,"Cocaine (base, paste and salts)",2'111,694,651,18'769,37'559,8'100,10'147,18'482,23'135,43'251,50'748,72'630,37'764,32'200,72'244,59'030,45'779,42'044,107'891,60'512,105'006,75'087,120'579,145'601,187'808,214'521,181'310,195'435,255'640,253'450,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164'808,146'072,183'245,166'980,148'077,253'591,362'415,434'730,413'383
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,48,1,5,2,5,2,2,34,3,7,15,32,6,33,2,8,7
,,,Hashish (resin),Hashish (resin),,,,,,,,,,277,,,176,,73,13,13,7,,338,38,0,,,,4,,,,1,75,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,,,,,2,,,,,48,44,95,145,81,130,239,584,567,788,777,629,767,761,515,527,677,735,1'692,523,464,403,349,393,521,444,329
,,,,Illicit morphine,,,,,,,,,,,,7,9,11,86,290,94,87,79,154,108,47,20,78,39,93,27,8,,1,,13,,,234,26,28,,
,,,Marijuana (herb),Marijuana (herb),743'813,3'412'975,3'288'879,7'940'452,7'194'969,1'066'778,535'224,1'299'314,927'249,707'617,653'322,329'000,205'678,548'780,207'712,206'260,238'943,178'132,70'025,69'087,75'173,86'610,76'998,134'939,152'317,128'957,109'629,183'203,254'685,208'875,254'991,320'900,348'994,410'331,305'460,258'221,193'069,239'420,264'444
,,,Opium,Opium,,,,,,,,,,,,6,107,281,128,144,103,122,100,33,17,4,110,27,57,1'623,154,133,172,,2,205,,1,1,1'724,1,,
,,,Other drugs,Any Illicit drugs,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis oil,,,,,,,,,,492,,,,800,32,30,199,8,,,,,,,,0,,,,,,,16'900,,,,,,
,,,,Cannabis plants,11'385,63'275,850'926,1'890'292,2'971'210,99'788,20'056,297'274,,,,,,,800,28'000,37,,,,,,,1'101,2,10,4'405,,7,,,,,,,,,,
,,,,Cannabis seed,,,,,,1'074,,2'013,6'982,,,,,,65,178,49,120,128,28,220,11,510,24,,3'060,,88,8,161,1,19'727,,,,,,,
,,,,Coca bush,106'665,,18'531'016,46'670'836,41'290'812,,4'739'410,,,,,,,,8'000,,,,,,,,,,,,,,3'858,,,,,,,,,,
,,,,Coca leaf,5'157,550,,,,152'295,82'928,121'261,97'360,202'973,533'694,140'000,116'865,278,491'270,394'216,686'018,117'817,340'564,306'782,897'911,583,638'000,688'691,562'264,665'250,844'030,1'094'690,644'353,852'779,871'249,1'022'532,718'992,446'280,532'990,777'640,1'040'878,611'410,458'429
,,,,Depressants (excluding Methaqualone),152,7'435,52,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,
,,,,LSD,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0
,,,,Methaqualone,,,,52,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,,,,,0,,,,291,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,,0,0
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,,,,3'113,,,,20'886,,,,,,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0
,,,,Other illicit opioids,,,,,,,,,,,,,,,2,,,,,4,,1,,,,1'623,,,,,,,,,,,,,
,,,,Poppy plants,,,,,,,,131,,,,,,,700,7'611'750,7'500,10'481'850,,,,,,,,,,,,,,,,,,,,,
